£||#||#||———
name||set||set_code||id||type||power||toughness||loyalty||manacost||converted_manacost||artist||flavor||color||generated_mana||number||rarity||rating||ruling||variation||ability||pricing_low||pricing_mid||pricing_high||watermark||print_number||is_original||back_id||number_int||name_CN||name_TW||name_FR||name_DE||name_IT||name_JP||name_PT||name_RU||name_ES||name_KO||type_CN||type_TW||type_FR||type_DE||type_IT||type_JP||type_PT||type_RU||type_ES||type_KO||ability_CN||ability_TW||ability_FR||ability_DE||ability_IT||ability_JP||ability_PT||ability_RU||ability_ES||ability_KO||flavor_CN||flavor_TW||flavor_FR||flavor_DE||flavor_IT||flavor_JP||flavor_PT||flavor_RU||flavor_ES||flavor_KO||color_identity||fully_handled||custom_sort||legality_Block||legality_Standard||legality_Modern||legality_Legacy||legality_Vintage||legality_Highlander||legality_French_Commander||legality_Tiny_Leaders_Commander||legality_Leviathan_Commander||legality_Commander||legality_Peasant||legality_Pauper||
Capsize||Masterpiece Series: Amonkhet Invocations||AKHM||430667||Instant||||||||{1}{U}{U}||3||Cliff Childs||||U||||32||T||5||||||Buyback {3} #(You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.)#£Return target permanent to its owner's hand.||||||||||||||||32||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||U||True||||||||||||||||||||||||||||
Chain Lightning||Masterpiece Series: Amonkhet Invocations||AKHM||429885||Sorcery||||||||{R}||1||Igor Kieryluk||||R||||26||T||5||£10/4/2004 : The copy is a spell, so it can be targeted by other spells and abilities that target a spell.£10/4/2004 : The player putting the copy spell on the stack controls that spell.£10/4/2004 : The spell copy has all the text and can result in itself being copied.£6/8/2016 : As Chain Lightning resolves, the targeted player or the controller of the targeted creature may copy it. The copy has the same text, target, and color of the resolving spell, though the player who’s copying it may choose a new target for it. Once that copy is created (or not), the first Chain Lightning has finished resolving and leaves the stack.£6/8/2016 : The player putting the copy of the spell on the stack controls that copy.£6/8/2016 : The copy of Chain Lightning is created on the stack, so it’s not cast. Abilities that trigger when a player casts a spell won’t trigger. Players may respond to that spell before it resolves.£6/8/2016 : If the targeted creature or player is an illegal target when Chain Lightning tries to resolve, the spell is countered. It can’t be copied.||||Chain Lightning deals 3 damage to target creature or player. Then that player or that creature's controller may pay {R}{R}. If the player does, he or she may copy this spell and may choose a new target for that copy.||||||||||||||||26||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||R||True||||||||||||||||||||||||||||
Choke||Masterpiece Series: Amonkhet Invocations||AKHM||430685||Enchantment||||||||{2}{G}||3||Florian de Gesincourt||||G||||50||T||5||||||Islands don't untap during their controllers' untap steps.||||||||||||||||50||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||G||True||||||||||||||||||||||||||||
Consecrated Sphinx||Masterpiece Series: Amonkhet Invocations||AKHM||429867||Creature — Sphinx||4||6||||{4}{U}{U}||6||Lius Lasahido||||U||||8||T||5||£6/1/2011 : You may either draw two cards or not draw at all. You can’t choose to draw only one card.£6/1/2011 : The ability triggers once for each card an opponent draws. You choose whether to draw two cards as each of those abilities resolves.£6/1/2011 : If each player controls a Consecrated Sphinx, their abilities will cause each other to trigger until one player chooses not to draw cards.||||Flying£Whenever an opponent draws a card, you may draw two cards.||||||||||||||||8||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||U||True||||||||||||||||||||||||||||
Containment Priest||Masterpiece Series: Amonkhet Invocations||AKHM||429862||Creature — Human Cleric||2||2||||{1}{W}||2||Igor Kieryluk||||W||||3||T||5||£11/7/2014 : Containment Priest’s last ability won’t affect any nontoken creatures that were cast, including ones cast from unusual zones such as your graveyard.£11/7/2014 : Containment Priest’s last ability doesn’t stop creature tokens from entering the battlefield. It also doesn’t affect creatures that were already on the battlefield.£11/7/2014 : If Containment Priest enters the battlefield without being cast, it won’t exile itself.£11/7/2014 : If Containment Priest enters the battlefield at the same time as other creatures, its ability won’t affect those creatures.||||Flash£If a nontoken creature would enter the battlefield and it wasn't cast, exile it instead.||||||||||||||||3||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||W||True||||||||||||||||||||||||||||
Counterbalance||Masterpiece Series: Amonkhet Invocations||AKHM||429868||Enchantment||||||||{U}{U}||2||Joseph Meehan||||U||||9||T||5||£7/15/2006 : If an opponent casts a spell with X in its mana cost, the converted mana cost of that spell takes the value of X into account. If you reveal a card with X in its mana cost, X is 0. For example, if your opponent casts Blaze with X=1, Counterbalance will counter that spell if you reveal a card with converted mana cost 2, but it won’t counter that spell if you reveal a Blaze of your own.£4/18/2017 : If an opponent casts half of a split card (for example, Hit), it won’t be countered if you reveal that same split card. The converted mana cost of a split card is determined by the combined mana cost of its two halves, but the converted mana cost of Hit is determined using only that half’s mana cost.||||Whenever an opponent casts a spell, you may reveal the top card of your library. If you do, counter that spell if it has the same converted mana cost as the revealed card.||||||||||||||||9||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||U||True||||||||||||||||||||||||||||
Counterspell||Masterpiece Series: Amonkhet Invocations||AKHM||429869||Instant||||||||{U}{U}||2||Chase Stone||||U||||10||T||5||||||Counter target spell.||||||||||||||||10||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||U||True||||||||||||||||||||||||||||
Cryptic Command||Masterpiece Series: Amonkhet Invocations||AKHM||429870||Instant||||||||{1}{U}{U}{U}||4||Richard Wright||||U||||11||T||5||£6/7/2013 : You choose both modes as you cast Cryptic Command. You must choose two different modes.£6/7/2013 : Look at both chosen modes to determine how many targets Cryptic Command has, if any. If it has at least one target, and all its targets are illegal when it tries to resolve, then it will be countered and none of its effects will happen. For example, if you choose the second and fourth modes, and the permanent is an illegal target when Cryptic Command tries to resolve, you won’t draw a card.||||Choose two —£• Counter target spell.£• Return target permanent to its owner's hand.£• Tap all creatures your opponents control.£• Draw a card.||||||||||||||||11||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||U||True||||||||||||||||||||||||||||
Damnation||Masterpiece Series: Amonkhet Invocations||AKHM||430674||Sorcery||||||||{2}{B}{B}||4||Zack Stella||||B||||39||T||5||£2/1/2007 : This is the timeshifted version of Wrath of God.||||Destroy all creatures. They can't be regenerated.||||||||||||||||39||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Dark Ritual||Masterpiece Series: Amonkhet Invocations||AKHM||429880||Instant||||||||{B}||1||Richard Wright||||B||{B}||21||T||5||||||Add {B}{B}{B} to your mana pool.||||||||||||||||21||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Daze||Masterpiece Series: Amonkhet Invocations||AKHM||429871||Instant||||||||{1}{U}||2||Richard Wright||||U||||12||T||5||£6/8/2016 : If another effect causes Daze to cost more, you must pay that additional cost even if you pay its alternative cost.||||You may return an Island you control to its owner's hand rather than pay Daze's mana cost.£Counter target spell unless its controller pays {1}.||||||||||||||||12||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||U||True||||||||||||||||||||||||||||
Desolation Angel||Masterpiece Series: Amonkhet Invocations||AKHM||430675||Creature — Angel||5||4||||{3}{B}{B}||5||Bastien L. Deharme||||B||||40||T||5||||||Kicker {W}{W} #(You may pay an additional {W}{W} as you cast this spell.)#£Flying£When Desolation Angel enters the battlefield, destroy all lands you control. If it was kicked, destroy all lands instead.||||||||||||||||40||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||WB||True||||||||||||||||||||||||||||
Diabolic Edict||Masterpiece Series: Amonkhet Invocations||AKHM||430676||Instant||||||||{1}{B}||2||Daarken||||B||||41||T||5||||||Target player sacrifices a creature.||||||||||||||||41||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Diabolic Intent||Masterpiece Series: Amonkhet Invocations||AKHM||429881||Sorcery||||||||{1}{B}||2||Joseph Meehan||||B||||22||T||5||£10/4/2004 : You must choose a card if there are any in your library.£4/15/2013 : You must sacrifice exactly one creature to cast this spell; you cannot cast it without sacrificing a creature, and you cannot sacrifice additional creatures.£4/15/2013 : Players can only respond once this spell has been cast and all its costs have been paid. No one can try to destroy the creature you sacrificed to prevent you from casting this spell.||||As an additional cost to cast Diabolic Intent, sacrifice a creature.£Search your library for a card and put that card into your hand. Then shuffle your library.||||||||||||||||22||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Divert||Masterpiece Series: Amonkhet Invocations||AKHM||429872||Instant||||||||{U}||1||Igor Kieryluk||||U||||13||T||5||||||Change the target of target spell with a single target unless that spell's controller pays {2}.||||||||||||||||13||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||U||True||||||||||||||||||||||||||||
Doomsday||Masterpiece Series: Amonkhet Invocations||AKHM||430677||Sorcery||||||||{B}{B}{B}||3||Jaime Jones||||B||||42||T||5||£10/4/2004 : You lose the life during resolution.£4/1/2008 : If your graveyard and library combined contain five or more cards, you must choose five cards from among them. You can’t choose to find fewer than that.£4/1/2008 : If your graveyard and library combined contain fewer than five cards, all of those cards will wind up in your library.||||Search your library and graveyard for five cards and exile the rest. Put the chosen cards on top of your library in any order. You lose half your life, rounded up.||||||||||||||||42||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Entomb||Masterpiece Series: Amonkhet Invocations||AKHM||429882||Instant||||||||{B}||1||Eytan Zana||||B||||23||T||5||||||Search your library for a card and put that card into your graveyard. Then shuffle your library.||||||||||||||||23||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Forbid||Masterpiece Series: Amonkhet Invocations||AKHM||430668||Instant||||||||{1}{U}{U}||3||Richard Wright||||U||||33||T||5||||||Buyback—Discard two cards. #(You may discard two cards in addition to any other costs as you cast this spell. If you do, put this card into your hand as it resolves.)#£Counter target spell.||||||||||||||||33||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||U||True||||||||||||||||||||||||||||
Force of Will||Masterpiece Series: Amonkhet Invocations||AKHM||429873||Instant||||||||{3}{U}{U}||5||Jaime Jones||||U||||14||T||5||£6/8/2016 : If another effect causes Force of Will to cost more, you must pay that additional cost even if you pay its alternative cost.||||You may pay 1 life and exile a blue card from your hand rather than pay Force of Will's mana cost.£Counter target spell.||||||||||||||||14||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||U||True||||||||||||||||||||||||||||
Hazoret the Fervent||Masterpiece Series: Amonkhet Invocations||AKHM||429886||Legendary Creature — God||5||4||||{3}{R}||4||Joseph Meehan||||R||||27||T||5||£4/18/2017 : Once Hazoret has attacked or blocked, it will remain in combat even if the number of cards in your hand becomes two or greater.£4/18/2017 : In a Two-Headed Giant game, Hazoret’s activated ability causes 2 damage to be dealt to each opponent, which is 4 damage to the opposing team.||||Indestructible, haste£Hazoret the Fervent can't attack or block unless you have one or fewer cards in hand.£{2}{R}, Discard a card: Hazoret deals 2 damage to each opponent.||||||||||||||||27||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||R||True||||||||||||||||||||||||||||
Kefnet the Mindful||Masterpiece Series: Amonkhet Invocations||AKHM||429874||Legendary Creature — God||5||5||||{2}{U}||3||Jose Cabrera||||U||||15||T||5||£4/18/2017 : Once Kefnet has attacked or blocked, it will remain in combat even if the number of cards in your hand becomes six or fewer.£4/18/2017 : While resolving Kefnet’s activated ability, you don’t choose which land to return to its owner’s hand (or whether you’ll return one at all) until you see the card you draw.||||Flying, indestructible£Kefnet the Mindful can't attack or block unless you have seven or more cards in hand.£{3}{U}: Draw a card, then you may return a land you control to its owner's hand.||||||||||||||||15||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||U||True||||||||||||||||||||||||||||
Lord of Extinction||Masterpiece Series: Amonkhet Invocations||AKHM||430687||Creature — Elemental||*||*||||{3}{B}{G}||5||Jason A. Engle||||GB (O)||||52||T||5||||||Lord of Extinction's power and toughness are each equal to the number of cards in all graveyards.||||||||||||||||52||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||BG||True||||||||||||||||||||||||||||
Loyal Retainers||Masterpiece Series: Amonkhet Invocations||AKHM||429863||Creature — Human Advisor||1||1||||{2}{W}||3||Bastien L. Deharme||||W||||4||T||5||£9/20/2013 : If a turn has multiple combat phases, the ability can only be activated before the beginning of the declare attackers step of the first combat phase in that turn.||||Sacrifice Loyal Retainers: Return target legendary creature card from your graveyard to the battlefield. Activate this ability only during your turn, before attackers are declared.||||||||||||||||4||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||W||True||||||||||||||||||||||||||||
Maelstrom Pulse||Masterpiece Series: Amonkhet Invocations||AKHM||429888||Sorcery||||||||{1}{B}{G}||3||Igor Kieryluk||||GB (O)||||29||T||5||£5/1/2009 : Maelstrom Pulse has only one target. If that permanent is an illegal target as Maelstrom Pulse tries to resolve, it will be countered and none of its effects will happen. Nothing will be destroyed.£5/1/2009 : The name of a creature token is the same as its creature types unless the token is a copy of another creature or the effect that created the token specifically gives it a different name. For example, a 1/1 Soldier creature token is named “Soldier.”£5/1/2009 : A face-down creature has no name, so it doesn’t have the same name as anything else.£7/1/2013 : If Maelstrom Pulse resolves but the targeted permanent isn’t destroyed (perhaps because it regenerates or has indestructible), all other permanents with the same name as it will still be destroyed (unless they also have indestructible.||||Destroy target nonland permanent and all other permanents with the same name as that permanent.||||||||||||||||29||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||BG||True||||||||||||||||||||||||||||
Mind Twist||Masterpiece Series: Amonkhet Invocations||AKHM||429883||Sorcery||||||||{X}{B}||1||Igor Kieryluk||||B||||24||T||5||||||Target player discards X cards at random.||||||||||||||||24||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
No Mercy||Masterpiece Series: Amonkhet Invocations||AKHM||430678||Enchantment||||||||{2}{B}{B}||4||Jonas De Ro||||B||||43||T||5||£10/4/2004 : If the damage to you is all prevented or redirected, then damage was not dealt to you, and this does not trigger.||||Whenever a creature deals damage to you, destroy it.||||||||||||||||43||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Oketra the True||Masterpiece Series: Amonkhet Invocations||AKHM||429864||Legendary Creature — God||3||6||||{3}{W}||4||Bastien L. Deharme||||W||||5||T||5||£4/18/2017 : Once Oketra has attacked or blocked, it will remain in combat even if the number of other creatures you control becomes two or fewer.£4/18/2017 : You don’t have to attack with three other creatures for Oketra to be able to attack. The same is true of blocking.||||Double strike, indestructible£Oketra the True can't attack or block unless you control at least three other creatures.£{3}{W}: Create a 1/1 white Warrior creature token with vigilance.||||||||||||||||5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||W||True||||||||||||||||||||||||||||
Omniscience||Masterpiece Series: Amonkhet Invocations||AKHM||430669||Enchantment||||||||{7}{U}{U}{U}||10||Josh Hass||||U||||34||T||5||£7/1/2012 : You must follow the normal timing restrictions of each nonland card you cast.£7/1/2012 : If you cast a card “without paying its mana cost,” you can’t pay any alternative costs. You can pay additional costs such as kicker costs. If the card has mandatory additional costs, you must pay those.£7/1/2012 : If the card has X in its mana cost, you must choose 0 as its value.||||You may cast spells from your hand without paying their mana costs.||||||||||||||||34||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||U||True||||||||||||||||||||||||||||
Opposition||Masterpiece Series: Amonkhet Invocations||AKHM||430670||Enchantment||||||||{2}{U}{U}||4||Svetlin Velinov||||U||||35||T||5||||||Tap an untapped creature you control: Tap target artifact, creature, or land.||||||||||||||||35||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||U||True||||||||||||||||||||||||||||
Pact of Negation||Masterpiece Series: Amonkhet Invocations||AKHM||429875||Instant||||||||{0}||0||Titus Lunter||||U||||16||T||5||£6/7/2013 : Although originally printed with a characteristic-defining ability that defined its color, this card now has a color indicator. This color indicator can’t be affected by text-changing effects (such as the one created by Crystal Spray), although color-changing effects can still overwrite it.||||Counter target spell.£At the beginning of your next upkeep, pay {3}{U}{U}. If you don't, you lose the game.||||||||||||||||16||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||U||True||||||||||||||||||||||||||||
Rhonas the Indomitable||Masterpiece Series: Amonkhet Invocations||AKHM||429887||Legendary Creature — God||5||5||||{2}{G}||3||Jack Wang||||G||||28||T||5||£4/18/2017 : Once Rhonas has attacked or blocked, it will remain in combat even if you no longer control another creature with power 4 or greater.£4/18/2017 : You don’t have to attack with another creature with power 4 or greater for Rhonas to be able to attack. The same is true of blocking.||||Deathtouch, indestructible£Rhonas the Indomitable can't attack or block unless you control another creature with power 4 or greater.£{2}{G}: Another target creature gets +2/+0 and gains trample until end of turn.||||||||||||||||28||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||G||True||||||||||||||||||||||||||||
Shatterstorm||Masterpiece Series: Amonkhet Invocations||AKHM||430683||Sorcery||||||||{2}{R}{R}||4||Johann Bodin||||R||||48||T||5||||||Destroy all artifacts. They can't be regenerated.||||||||||||||||48||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||R||True||||||||||||||||||||||||||||
Slaughter Pact||Masterpiece Series: Amonkhet Invocations||AKHM||430679||Instant||||||||{0}||0||Josh Hass||||B||||44||T||5||£6/7/2013 : Although originally printed with a characteristic-defining ability that defined its color, this card now has a color indicator. This color indicator can’t be affected by text-changing effects (such as the one created by Crystal Spray), although color-changing effects can still overwrite it.||||Destroy target nonblack creature.£At the beginning of your next upkeep, pay {2}{B}. If you don't, you lose the game.||||||||||||||||44||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Spell Pierce||Masterpiece Series: Amonkhet Invocations||AKHM||429876||Instant||||||||{U}||1||Joseph Meehan||||U||||17||T||5||||||Counter target noncreature spell unless its controller pays {2}.||||||||||||||||17||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||U||True||||||||||||||||||||||||||||
Stifle||Masterpiece Series: Amonkhet Invocations||AKHM||429877||Instant||||||||{U}||1||Cliff Childs||||U||||18||T||5||£10/4/2004 : An activated ability has a “Cost: Effect” format. Look for the colon. A triggered ability starts with “when”, “whenever”, or “at”.£10/4/2004 : Turn-based actions and special actions like the normal card draw, combat damage, or turning a face-down creature face up can’t be targeted.£10/4/2004 : It can target delayed triggered abilities. For example, a card that says “Whenever a player cycles a card, you may exile target creature. If you do, return that creature to the battlefield at the beginning of the end step.” triggers when a player cycles a card and creates a delayed trigger that happens at the beginning of the end step. You can choose to target the “at the beginning of the end step” trigger when it is placed on the stack at end of turn.||||Counter target activated or triggered ability. #(Mana abilities can't be targeted.)#||||||||||||||||18||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||U||True||||||||||||||||||||||||||||
Sunder||Masterpiece Series: Amonkhet Invocations||AKHM||430671||Instant||||||||{3}{U}{U}||5||Titus Lunter||||U||||36||T||5||£10/4/2004 : Only affects lands on the battlefield.||||Return all lands to their owners' hands.||||||||||||||||36||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||U||True||||||||||||||||||||||||||||
The Locust God||Masterpiece Series: Amonkhet Invocations||AKHM||430686||Legendary Creature — God||4||4||||{4}{U}{R}||6||Grzegorz Rutkowski||||UR (O)||||51||T||5||£6/27/2017 : If a spell or ability causes you to put cards into your hand without specifically using the word “draw,” The Locust God’s first triggered ability won’t trigger.£6/27/2017 : If this creature dies but leaves your graveyard before the next end step, it will remain in its new zone.£6/27/2017 : The “next end step” refers to the next end step that occurs, not the end step of the next turn. If this creature dies before a turn’s end step (for example, during combat), it will be returned to its owner’s hand at the beginning of that turn’s end step.||||Flying£Whenever you draw a card, create a 1/1 blue and red Insect creature token with flying and haste.£{2}{U}{R}: Draw a card, then discard a card.£When The Locust God dies, return it to its owner's hand at the beginning of the next end step.||||||||||||||||51||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||UR||True||||||||||||||||||||||||||||
